id,year,month,region,age_group,gender,registration_count
470,2022,2,울산,30대,여성,18243
471,2022,2,울산,40대,여성,31847
472,2022,2,울산,50대,여성,37781
473,2022,2,울산,60대,여성,23526
474,2022,2,울산,70대,여성,4435
475,2022,2,울산,80대,여성,739
476,2022,2,울산,90대이상,여성,205
477,2022,2,인천,20대,남성,19392
478,2022,2,인천,30대,남성,123326
479,2022,2,인천,40대,남성,215436
480,2022,2,인천,50대,남성,233840
481,2022,2,인천,60대,남성,185368
482,2022,2,인천,70대,남성,49402
483,2022,2,인천,80대,남성,7604
484,2022,2,인천,90대이상,남성,679
485,2022,2,인천,전체,법인및사업자,541384
486,2022,2,인천,20대,여성,9798
487,2022,2,인천,30대,여성,50035
488,2022,2,인천,40대,여성,80705
489,2022,2,인천,50대,여성,93212
490,2022,2,인천,60대,여성,59096
491,2022,2,인천,70대,여성,10946
492,2022,2,인천,80대,여성,2132
493,2022,2,인천,90대이상,여성,482
494,2022,2,전남,20대,남성,14237
495,2022,2,전남,30대,남성,66694
496,2022,2,전남,40대,남성,140989
497,2022,2,전남,50대,남성,203599
498,2022,2,전남,60대,남성,178318
499,2022,2,전남,70대,남성,66787
500,2022,2,전남,80대,남성,11640
501,2022,2,전남,90대이상,남성,1043
502,2022,2,전남,전체,법인및사업자,270356
503,2022,2,전남,20대,여성,7424
504,2022,2,전남,30대,여성,30327
505,2022,2,전남,40대,여성,51802
506,2022,2,전남,50대,여성,69517
507,2022,2,전남,60대,여성,50503
508,2022,2,전남,70대,여성,11237
509,2022,2,전남,80대,여성,3045
510,2022,2,전남,90대이상,여성,771
511,2022,2,전북,20대,남성,13236
512,2022,2,전북,30대,남성,62792
513,2022,2,전북,40대,남성,137163
514,2022,2,전북,50대,남성,186245
515,2022,2,전북,60대,남성,160826
516,2022,2,전북,70대,남성,60484
517,2022,2,전북,80대,남성,11616
518,2022,2,전북,90대이상,남성,1069
519,2022,2,전북,전체,법인및사업자,98925
520,2022,2,전북,20대,여성,7583
521,2022,2,전북,30대,여성,31412
522,2022,2,전북,40대,여성,54160
523,2022,2,전북,50대,여성,70867
524,2022,2,전북,60대,여성,50309
525,2022,2,전북,70대,여성,12065
526,2022,2,전북,80대,여성,3028
527,2022,2,전북,90대이상,여성,878
528,2022,2,제주,20대,남성,4570
529,2022,2,제주,30대,남성,26131
530,2022,2,제주,40대,남성,59183
531,2022,2,제주,50대,남성,70849
532,2022,2,제주,60대,남성,52745
533,2022,2,제주,70대,남성,18586
534,2022,2,제주,80대,남성,4129
535,2022,2,제주,90대이상,남성,284
536,2022,2,제주,전체,법인및사업자,321289
537,2022,2,제주,20대,여성,3252
538,2022,2,제주,30대,여성,15149
539,2022,2,제주,40대,여성,27724
540,2022,2,제주,50대,여성,33220
541,2022,2,제주,60대,여성,21582
542,2022,2,제주,70대,여성,5077
543,2022,2,제주,80대,여성,867
544,2022,2,제주,90대이상,여성,223
545,2022,2,충남,20대,남성,18508
546,2022,2,충남,30대,남성,104671
547,2022,2,충남,40대,남성,194244
548,2022,2,충남,50대,남성,224587
549,2022,2,충남,60대,남성,187409
550,2022,2,충남,70대,남성,65467
551,2022,2,충남,80대,남성,12418
552,2022,2,충남,90대이상,남성,973
553,2022,2,충남,전체,법인및사업자,104285
554,2022,2,충남,20대,여성,9479
555,2022,2,충남,30대,여성,41227
556,2022,2,충남,40대,여성,65517
557,2022,2,충남,50대,여성,80575
558,2022,2,충남,60대,여성,57062
559,2022,2,충남,70대,여성,12170
560,2022,2,충남,80대,여성,2626
561,2022,2,충남,90대이상,여성,611
562,2022,2,충북,20대,남성,15044
563,2022,2,충북,30대,남성,74450
564,2022,2,충북,40대,남성,130406
565,2022,2,충북,50대,남성,169858
566,2022,2,충북,60대,남성,147584
567,2022,2,충북,70대,남성,46945
568,2022,2,충북,80대,남성,9036
569,2022,2,충북,90대이상,남성,570
570,2022,2,충북,전체,법인및사업자,94735
571,2022,2,충북,20대,여성,7932
572,2022,2,충북,30대,여성,31360
573,2022,2,충북,40대,여성,49752
574,2022,2,충북,50대,여성,63925
575,2022,2,충북,60대,여성,43459
576,2022,2,충북,70대,여성,8992
577,2022,2,충북,80대,여성,1821
578,2022,2,충북,90대이상,여성,366
579,2022,3,강원,20대,남성,14168
580,2022,3,강원,30대,남성,62515
581,2022,3,강원,40대,남성,115683
582,2022,3,강원,50대,남성,159558
583,2022,3,강원,60대,남성,149305
584,2022,3,강원,70대,남성,50890
585,2022,3,강원,80대,남성,11334
586,2022,3,강원,90대이상,남성,682
587,2022,3,강원,전체,법인및사업자,64071
588,2022,3,강원,20대,여성,7141
589,2022,3,강원,30대,여성,27652
590,2022,3,강원,40대,여성,48029
591,2022,3,강원,50대,여성,63754
592,2022,3,강원,60대,여성,49237
593,2022,3,강원,70대,여성,10735
594,2022,3,강원,80대,여성,1974
595,2022,3,강원,90대이상,여성,529
596,2022,3,경기,20대,남성,94721
597,2022,3,경기,30대,남성,615291
598,2022,3,경기,40대,남성,1111384
599,2022,3,경기,50대,남성,1172612
600,2022,3,경기,60대,남성,839207
601,2022,3,경기,70대,남성,237393
602,2022,3,경기,80대,남성,45078
603,2022,3,경기,90대이상,남성,3881
604,2022,3,경기,전체,법인및사업자,648123
605,2022,3,경기,20대,여성,48103
606,2022,3,경기,30대,여성,244959
607,2022,3,경기,40대,여성,402800
608,2022,3,경기,50대,여성,460699
609,2022,3,경기,60대,여성,280723
610,2022,3,경기,70대,여성,60439
611,2022,3,경기,80대,여성,11837
612,2022,3,경기,90대이상,여성,2657
613,2022,3,경남,20대,남성,23497
614,2022,3,경남,30대,남성,135133
615,2022,3,경남,40대,남성,280210
616,2022,3,경남,50대,남성,345443
617,2022,3,경남,60대,남성,290131
618,2022,3,경남,70대,남성,90124
619,2022,3,경남,80대,남성,13726
620,2022,3,경남,90대이상,남성,1023
621,2022,3,경남,전체,법인및사업자,270741
622,2022,3,경남,20대,여성,12071
623,2022,3,경남,30대,여성,56572
624,2022,3,경남,40대,여성,102203
625,2022,3,경남,50대,여성,127305
626,2022,3,경남,60대,여성,84171
627,2022,3,경남,70대,여성,16417
628,2022,3,경남,80대,여성,3147
629,2022,3,경남,90대이상,여성,732
630,2022,3,경북,20대,남성,20531
631,2022,3,경북,30대,남성,107290
632,2022,3,경북,40대,남성,216341
633,2022,3,경북,50대,남성,302155
634,2022,3,경북,60대,남성,283704
635,2022,3,경북,70대,남성,102889
636,2022,3,경북,80대,남성,18362
637,2022,3,경북,90대이상,남성,1226
638,2022,3,경북,전체,법인및사업자,122325
639,2022,3,경북,20대,여성,10766
640,2022,3,경북,30대,여성,43897
641,2022,3,경북,40대,여성,77202
642,2022,3,경북,50대,여성,103934
643,2022,3,경북,60대,여성,78237
644,2022,3,경북,70대,여성,17241
645,2022,3,경북,80대,여성,3256
646,2022,3,경북,90대이상,여성,699
647,2022,3,광주,20대,남성,12302
648,2022,3,광주,30대,남성,61543
649,2022,3,광주,40대,남성,116125
650,2022,3,광주,50대,남성,131390
651,2022,3,광주,60대,남성,89312
652,2022,3,광주,70대,남성,28155
653,2022,3,광주,80대,남성,4693
654,2022,3,광주,90대이상,남성,380
655,2022,3,광주,전체,법인및사업자,77231
656,2022,3,광주,20대,여성,8048
657,2022,3,광주,30대,여성,31586
658,2022,3,광주,40대,여성,49787
659,2022,3,광주,50대,여성,55689
660,2022,3,광주,60대,여성,31076
661,2022,3,광주,70대,여성,6563
662,2022,3,광주,80대,여성,1230
663,2022,3,광주,90대이상,여성,339
664,2022,3,대구,20대,남성,15969
665,2022,3,대구,30대,남성,98066
666,2022,3,대구,40대,남성,186760
667,2022,3,대구,50대,남성,227462
668,2022,3,대구,60대,남성,178493
669,2022,3,대구,70대,남성,58938
670,2022,3,대구,80대,남성,10278
671,2022,3,대구,90대이상,남성,836
672,2022,3,대구,전체,법인및사업자,158338
673,2022,3,대구,20대,여성,8572
674,2022,3,대구,30대,여성,39537
675,2022,3,대구,40대,여성,70763
